time,true_distance,true_velocity,true_acceleration,d_linenc,d_kalman,d_error
0.306,0.0474314,0.307,1,0,1.0002,-0.95277
0.307,0.0477399,0.308,1,0,1.0002,-0.952461
0.308,0.0480494,0.309,1,0,1.0002,-0.952152
0.309,0.0483599,0.31,1,0,1.0002,-0.951841
0.31,0.0486714,0.311,1,0,1.0002,-0.95153
0.311,0.0489839,0.312,1,0,1.0002,-0.951217
0.312,0.0492974,0.313,1,0,1.0002,-0.950904
0.313,0.0496119,0.314,1,0,1.0002,-0.950589
0.314,0.0499274,0.314999,1,0,1.0002,-0.950274
0.315,0.0502439,0.315999,1,0.05,0.0501057,0.000138219
0.316,0.0505614,0.316999,1,0.05,0.0501057,0.000455718
0.317,0.0508799,0.317999,1,0.05,0.0501057,0.000774216
0.318,0.0511994,0.318999,1,0.05,0.0501057,0.00109372
0.319,0.0515199,0.319999,1,0.05,0.0501057,0.00141421
0.32,0.0518414,0.320999,1,0.05,0.0501057,0.00173571
0.321,0.0521639,0.321999,1,0.05,0.0501057,0.00205821
0.322,0.0524874,0.322999,1,0.05,0.0501057,0.00238171
0.323,0.0528119,0.323999,1,0.05,0.0501057,0.00270621
0.324,0.0531374,0.324999,1,0.05,0.0501057,0.0030317
0.325,0.0534639,0.325999,1,0.05,0.0501057,0.0033582
0.326,0.0537914,0.326999,1,0.05,0.0501057,0.0036857
0.327,0.0541199,0.327999,1,0.05,0.0501057,0.0040142
0.328,0.0544494,0.328999,1,0.05,0.0501057,0.0043437
0.329,0.0547799,0.329999,1,0.05,0.0501057,0.0046742
0.33,0.0551114,0.330999,1,0.05,0.0501057,0.0050057
0.331,0.0554439,0.331999,1,0.05,0.0501057,0.0053382
0.332,0.0557774,0.332999,1,0.05,0.0501057,0.00567169
0.333,0.0561119,0.333999,1,0.05,0.0501057,0.00600619
0.334,0.0564474,0.334999,1,0.05,0.0501057,0.00634169
0.335,0.0567839,0.335999,1,0.05,0.0501057,0.00667819
0.336,0.0571214,0.336999,1,0.05,0.0501057,0.00701569
0.337,0.0574599,0.337999,1,0.05,0.0501057,0.00735419
0.338,0.0577994,0.338999,1,0.05,0.0501057,0.00769369
0.339,0.0581399,0.339999,1,0.05,0.0501057,0.00803418
0.34,0.0584814,0.340999,1,0.05,0.0501057,0.00837568
0.341,0.0588239,0.341999,1,0.05,0.0501057,0.00871818
0.342,0.0591674,0.342999,1,0.05,0.0501057,0.00906168
0.343,0.0595119,0.343999,1,0.05,0.0501057,0.00940618
0.344,0.0598574,0.344999,1,0.05,0.0501057,0.00975168
0.345,0.0602039,0.345999,1,0.05,0.0501057,0.0100982
0.346,0.0605514,0.346999,1,0.05,0.0501057,0.0104457
0.347,0.0608999,0.347999,1,0.05,0.0501057,0.0107942
0.348,0.0612494,0.348999,1,0.05,0.0501057,0.0111437
0.349,0.0615999,0.349999,1,0.05,0.0501057,0.0114942
